"";"gs_name";"gs_id";"gs_cat";"gs_subcat";"human_gene_symbol";"species_name";"entrez_gene";"gene_symbol";"sources"
"92";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"IL10RA";"Homo sapiens";3587;"IL10RA";NA
"93";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"IL6R";"Homo sapiens";3570;"IL6R";NA
"94";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"IMMT";"Homo sapiens";10989;"IMMT";NA
"95";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"INA";"Homo sapiens";9118;"INA";NA
"96";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ISLR";"Homo sapiens";3671;"ISLR";NA
"97";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"IVD";"Homo sapiens";3712;"IVD";NA
"98";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"JPT1";"Homo sapiens";51155;"JPT1";NA
"99";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"KCNJ11";"Homo sapiens";3767;"KCNJ11";NA
"100";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"KCNJ5";"Homo sapiens";3762;"KCNJ5";NA
"101";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"KCNK2";"Homo sapiens";3776;"KCNK2";NA
"102";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"KRT17";"Homo sapiens";3872;"KRT17";NA
"103";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"LCOR";"Homo sapiens";84458;"LCOR";NA
"104";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"LHX8";"Homo sapiens";431707;"LHX8";NA
"105";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"LSM7";"Homo sapiens";51690;"LSM7";NA
"106";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MET";"Homo sapiens";4233;"MET";NA
"107";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MFAP4";"Homo sapiens";4239;"MFAP4";NA
"108";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MFAP5";"Homo sapiens";8076;"MFAP5";NA
"109";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MLYCD";"Homo sapiens";23417;"MLYCD";NA
"110";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MRPL38";"Homo sapiens";64978;"MRPL38";NA
"111";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MRPS18B";"Homo sapiens";28973;"MRPS18B";NA
"112";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MRVI1";"Homo sapiens";10335;"MRVI1";NA
"113";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MTMR10";"Homo sapiens";54893;"MTMR10";NA
"114";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"MYL12B";"Homo sapiens";103910;"MYL12B";NA
"115";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NDUFA10";"Homo sapiens";4705;"NDUFA10";NA
"116";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NDUFAF4";"Homo sapiens";29078;"NDUFAF4";NA
"117";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NDUFS6";"Homo sapiens";4726;"NDUFS6";NA
"118";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NEFH";"Homo sapiens";4744;"NEFH";NA
"119";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NFIA";"Homo sapiens";4774;"NFIA";NA
"120";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NHP2";"Homo sapiens";55651;"NHP2";NA
"121";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NKX6-2";"Homo sapiens";84504;"NKX6-2";NA
"122";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NPC2";"Homo sapiens";10577;"NPC2";NA
"123";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NPHP1";"Homo sapiens";4867;"NPHP1";NA
"124";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NPPA";"Homo sapiens";4878;"NPPA";NA
"125";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"NR0B1";"Homo sapiens";190;"NR0B1";NA
"126";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"OAZ3";"Homo sapiens";51686;"OAZ3";NA
"127";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ORC1";"Homo sapiens";4998;"ORC1";NA
"128";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PAPOLB";"Homo sapiens";56903;"PAPOLB";NA
"129";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PC";"Homo sapiens";5091;"PC";NA
"130";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PDYN";"Homo sapiens";5173;"PDYN";NA
"131";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PFDN5";"Homo sapiens";5204;"PFDN5";NA
"132";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PITPNB";"Homo sapiens";23760;"PITPNB";NA
"133";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PKDCC";"Homo sapiens";91461;"PKDCC";NA
"134";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PKIB";"Homo sapiens";5570;"PKIB";NA
"135";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PLA2G2C";"Homo sapiens";391013;"PLA2G2C";NA
"136";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PLXNB2";"Homo sapiens";23654;"PLXNB2";NA
"137";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"POLR2L";"Homo sapiens";5441;"POLR2L";NA
"138";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"POU1F1";"Homo sapiens";5449;"POU1F1";NA
"139";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PPIC";"Homo sapiens";5480;"PPIC";NA
"140";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PRKCZ";"Homo sapiens";5590;"PRKCZ";NA
"141";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PRR15";"Homo sapiens";222171;"PRR15";NA
"142";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PRUNE1";"Homo sapiens";58497;"PRUNE1";NA
"143";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"PSPH";"Homo sapiens";5723;"PSPH";NA
"144";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RAMP2";"Homo sapiens";10266;"RAMP2";NA
"145";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RAP2B";"Homo sapiens";5912;"RAP2B";NA
"146";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RCAN3";"Homo sapiens";11123;"RCAN3";NA
"147";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RFLNB";"Homo sapiens";359845;"RFLNB";NA
"148";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RGS4";"Homo sapiens";5999;"RGS4";NA
"149";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RMND1";"Homo sapiens";55005;"RMND1";NA
"150";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RUNX1T1";"Homo sapiens";862;"RUNX1T1";NA
"151";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"RXYLT1";"Homo sapiens";10329;"RXYLT1";NA
